Date,Influent Ammonia (mg/L),Influent Nitrate (mg/L),Influent Organic Nitrogen (mg/L),Total Phosphorus (mg/L),Influent Flow (Million Gallons),Effluent Ammonia (mg/L),Effluent Nitrate (mg/L),Effluent Organic Nitrogen (mg/L) ,Effluent Total Phosphorus (mg/L),Effluent Flow (MGD),Effluent Flow (m3/day),Nitrate loading (kg/d),TP loading (kg/d)
4/6/00,8.24,,,,,0.07,4.92,,9.03,26.78,101373.328,498.7567738,915.4011519
4/7/00,10.10,,,,,<0.12,,,,28.78,108944.1516,0,0
4/8/00,,,,,,,,,,27.24,103114.6174,0,0
4/9/00,,,,,,,,,,26.93,101941.1398,0,0
4/10/00,8.58,,14.60,,,<0.12,,2.91,,28.21,106786.4669,0,0
4/11/00,9.26,,,,,<0.12,7.34,,,25.60,96906.54208,711.2940189,0
4/12/00,7.78,,,,,<0.12,,,,25.56,96755.12561,0,0
4/13/00,10.50,,,,,0.09,7.04,,7.99,25.78,97587.9162,687.0189301,779.7274505
4/14/00,12.50,,,,,<0.12,,,,26.70,101070.4951,0,0
4/15/00,,,,,,,,,,26.34,99707.74681,0,0
4/16/00,,,,,,,,,,33.58,127114.1282,0,0
4/17/00,13.70,,14.40,,,<0.12,,2.65,,33.87,128211.8977,0,0
4/18/00,10.20,,,,,<0.12,9.17,,,27.85,105423.7186,966.7354998,0
4/19/00,13.50,,,,,<0.12,,,,27.40,103720.2833,0,0
4/20/00,8.93,,,,,0.07,4.00,,9.34,30.84,116742.0999,466.9683996,1090.371213
4/21/00,,,,,,,,,,26.84,101600.4527,0,0
4/22/00,,,,,,,,,,26.31,99594.18446,0,0
4/23/00,,,,,,,,,,40.38,152854.9285,0,0
4/24/00,9.99,,12.00,,,<0.12,,2.30,,37.85,143277.8366,0,0
4/25/00,10.10,,,,,<0.12,8.25,,,27.01,102243.9727,843.5127749,0
4/26/00,11.30,,,,,<0.12,,,,29.02,109852.6504,0,0
4/27/00,18.70,,,,,0.07,11.90,,7.68,26.69,101032.6409,1202.288427,775.9306824
4/28/00,19.60,,,,,<0.12,,,,28.81,109057.714,0,0
4/29/00,,,,,,,,,,28.62,108338.4857,0,0
4/30/00,,,,,,,,,,26.54,100464.8292,0,0
5/1/00,17.60,,15.90,,,<0.12,,2.34,,29.86,113032.3963,0,0
5/2/00,18.10,,,,,<0.12,14.10,,,26.54,100464.8292,1416.554091,0
5/3/00,14.60,,,,,<0.12,,,,26.30,99556.33034,0,0
5/4/00,12.70,,,,,<0.12,12.60,,,26.38,99859.16328,1258.225457,0
5/5/00,9.84,,,,,<0.12,,,,27.32,103417.4504,0,0
5/6/00,,,,,,,,,,27.40,103720.2833,0,0
5/7/00,,,,,,,,,,27.56,104325.9492,0,0
5/8/00,10.40,,13.70,,,<0.12,,2.25,,31.45,119051.2011,0,0
5/9/00,8.38,,,,,<0.12,7.76,,,33.30,126054.2129,978.1806924,0
5/10/00,7.52,,,,,<0.12,,,,26.14,98950.66445,0,0
5/11/00,6.62,,,,,0.07,6.88,,9.13,27.79,105196.5939,723.7525662,960.4449025
5/12/00,6.47,,,,,<0.12,,,,31.30,118483.3893,0,0
5/13/00,,,,,,,,,,26.64,100843.3704,0,0
5/14/00,,,,,,,,,,26.63,100805.5162,0,0
5/15/00,7.14,,14.00,,,<0.12,,2.38,,30.05,113751.6246,0,0
5/16/00,12.10,,,,,<0.12,8.16,,,25.87,97928.60327,799.0974027,0
5/17/00,15.40,,,,,<0.12,,,,25.56,96755.12561,0,0
5/18/00,16.20,,,,,0.09,11.80,,9.34,28.49,107846.3822,1272.58731,1007.28521
5/19/00,13.30,,,,,<0.12,,,,26.02,98496.41504,0,0
5/20/00,,,,,,,,,,25.78,97587.9162,0,0
5/21/00,,,,,,,,,,25.86,97890.74915,0,0
5/22/00,9.92,,15.50,,,<0.12,,2.61,,30.75,116401.4129,0,0
5/23/00,10.30,,,,,<0.12,9.07,,,24.29,91947.65262,833.9652093,0
5/24/00,12.40,,,,,<0.12,,,,26.41,99972.72564,0,0
5/25/00,13.60,,,,,<0.12,4.29,,,33.96,128552.5847,551.4905885,0
5/26/00,10.60,,,,,<0.12,,,,33.97,128590.4388,0,0
5/27/00,,,,,,,,,,43.73,165536.058,0,0
5/28/00,,,,,,,,,,34.83,131845.893,0,0
5/29/00,,,,,,,,,,30.76,116439.267,0,0
5/30/00,27.90,,,,,<0.12,12.70,,,32.26,122117.3847,1550.890785,0
5/31/00,17.60,,,,,<0.12,,,,26.93,101941.1398,0,0
6/1/00,9.56,,,,,0.06,23.30,,7.99,25.05,94824.56559,2209.412378,757.6482791
6/2/00,8.54,,,,,<0.12,,,,25.82,97739.33268,0,0
6/3/00,,,,,,,,,,27.08,102508.9515,0,0
6/4/00,,,,,,,,,,38.48,145662.6461,0,0
6/5/00,7.06,,10.10,,,<0.12,,1.85,,29.05,109966.2128,0,0
6/6/00,6.48,,,,,<0.12,6.56,,,27.00,102206.1186,670.472138,0
6/7/00,12.00,,,,,<0.12,,,,25.82,97739.33268,0,0
6/8/00,15.30,,,,,<0.12,10.40,,,26.90,101827.5774,1059.006805,0
6/9/00,17.20,,,,,<0.12,,,,26.20,99177.78916,0,0
6/10/00,,,,,,,,,,26.77,101335.4739,0,0
6/11/00,,,,,,,,,,30.07,113827.3328,0,0
6/12/00,14.20,,15.30,,,<0.12,,2.16,,32.46,122874.467,0,0
6/13/00,17.30,,,,,<0.12,10.60,,,28.66,108489.9022,1149.992963,0
6/14/00,12.00,,,,,<0.12,,,,40.89,154785.4885,0,0
6/15/00,12.50,,,,,0.04,10.90,,6.02,34.00,128704.0012,1402.873613,774.7980872
6/16/00,14.90,,,,,<0.12,,,,28.10,106370.0716,0,0
6/17/00,,,,,,,,,,29.66,112275.314,0,0
6/18/00,,,,,,,,,,26.43,100048.4339,0,0
6/19/00,11.10,,15.00,,,<0.12,,2.38,,29.67,112313.1681,0,0
6/20/00,9.05,,,,,<0.12,15.60,,,51.52,195024.4159,3042.380889,0
6/21/00,9.04,,,,,<0.12,,,,40.84,154596.2179,0,0
6/22/00,13.60,,,,,0.07,12.60,,5.50,30.73,116325.7046,1465.703878,639.7913754
6/23/00,11.40,,,,,<0.12,,,,40.26,152400.6791,0,0
6/24/00,,,,,,,,,,44.10,166936.6604,0,0
6/25/00,,,,,,,,,,37.70,142710.0249,0,0
6/26/00,9.20,,12.30,,,<0.12,,1.37,,46.82,177232.9805,0,0
6/27/00,9.53,,,,,<0.12,11.50,,,29.10,110155.4834,1266.788059,0
6/28/00,10.80,,,,,<0.12,,,,29.71,112464.5846,0,0
6/29/00,10.60,,,,,0.05,13.50,,6.75,27.17,102849.6386,1388.470121,694.2350606
6/30/00,10.70,,,,,<0.12,,,,29.47,111556.0857,0,0
7/1/00,,,,,,,,,,29.63,112161.7516,0,0
7/2/00,,,,,,,,,,27.27,103228.1798,0,0
7/3/00,11.60,,,,,<0.12,,,,30.65,116022.8717,0,0
7/4/00,,,,,,,,,,37.45,141763.6719,0,0
7/5/00,5.08,,,,,<0.12,,,,70.55,267060.8025,0,0
7/6/00,8.51,,,,,0.05,8.10,,4.26,40.80,154444.8014,1251.002892,657.9348541
7/7/00,11.20,,,,,<0.12,,,,33.21,125713.5259,0,0
7/8/00,,,,,,,,,,33.60,127189.8365,0,0
7/9/00,,,,,,,,,,30.16,114168.0199,0,0
7/10/00,10.70,,11.70,,,<0.12,,1.68,,32.95,124729.3188,0,0
7/11/00,8.41,,,,,<0.12,14.20,,,36.65,138735.3425,1970.041863,0
7/12/00,9.12,,,,,<0.12,,,,36.39,137751.1354,0,0
7/13/00,7.85,,,,,0.07,9.84,,5.92,33.07,125183.5682,1231.806311,741.0867239
7/14/00,8.68,,,,,<0.12,,,,32.38,122571.6341,0,0
7/15/00,,,,,,,,,,31.43,118975.4929,0,0
7/16/00,,,,,,,,,,30.31,114735.8317,0,0
7/17/00,8.93,,12.70,,,<0.12,,1.76,,32.55,123215.1541,0,0
7/18/00,7.63,,,,,<0.12,13.10,,,31.49,119202.6176,1561.55429,0
7/19/00,8.19,,,,,<0.12,,,,31.25,118294.1188,0,0
7/20/00,7.50,,,,,0.07,7.94,,8.82,30.73,116325.7046,923.6260946,1025.992715
7/21/00,9.17,,,,,<0.12,,,,29.59,112010.3352,0,0
7/22/00,,,,,,,,,,28.89,109360.5469,0,0
7/23/00,,,,,,,,,,27.79,105196.5939,0,0
7/24/00,12.50,,13.70,,,<0.12,,1.85,,31.70,119997.5541,0,0
7/25/00,13.10,,,,,<0.12,12.50,,,29.50,111669.6481,1395.870601,0
7/26/00,10.70,,,,,<0.12,,,,29.39,111253.2528,0,0
7/27/00,10.30,,,,,<0.12,15.60,,,29.48,111593.9399,1740.865462,0
7/28/00,13.90,,,,,<0.12,,,,30.06,113789.4787,0,0
7/29/00,,,,,,,,,,48.84,184879.5123,0,0
7/30/00,,,,,,,,,,33.00,124918.5894,0,0
7/31/00,9.00,,12.60,,,<0.12,,1.76,,35.91,135934.1377,0,0
8/1/00,8.43,,,,,<0.12,12.90,,,31.06,117571.1051,1516.667256,0
8/2/00,8.56,,,,,<0.12,,,,39.62,149959.0885,0,0
8/3/00,11.30,,,,,0.05,8.77,,8.20,35.93,136009.846,1192.806349,1115.280737
8/4/00,13.90,,,,,<0.12,,,,30.63,115939.5926,0,0
8/5/00,,,,,,,,,,52.09,197189.6715,0,0
8/6/00,,,,,,,,,,40.26,152393.1082,0,0
8/7/00,12.00,,11.10,,,<0.12,,1.76,,39.50,149516.1953,0,0
8/8/00,9.48,,,,,<0.12,13.80,,,35.93,136017.4168,1877.040352,0
8/9/00,12.10,,,,,<0.12,,,,32.57,123283.2915,0,0
8/10/00,11.30,,,,,0.07,14.50,,6.85,31.58,119539.5192,1733.323029,818.8457067
8/11/00,11.60,,,,,<0.12,,,,30.35,114868.3211,0,0
8/12/00,,,,,,,,,,30.80,116590.6834,0,0
8/13/00,,,,,,,,,,30.49,115398.2787,0,0
8/14/00,11.40,,10.70,,,<0.12,,1.76,,30.18,114232.3719,0,0
8/15/00,12.40,,,,,<0.12,14.90,,,29.97,113429.8646,1690.104982,0
8/16/00,10.80,,,,,<0.12,,,,31.14,117862.5818,0,0
8/17/00,8.67,,,,,0.07,12.00,,8.41,45.36,171706.2792,2060.475351,1444.049808
8/18/00,7.50,,,,,<0.12,,,,36.79,139261.5147,0,0
8/19/00,,,,,,,,,,31.53,119338.8924,0,0
8/20/00,,,,,,,,,,31.91,120803.8468,0,0
8/21/00,6.23,,12.00,,,<0.12,,1.93,,33.57,127080.0595,0,0
8/22/00,9.39,,,,,<0.12,4.25,,,35.58,134677.381,572.3788693,0
8/23/00,13.00,,,,,<0.12,,,,38.32,145056.9802,0,0
8/24/00,11.40,,,,,<0.12,13.20,,,31.96,120974.1903,1596.859312,0
8/25/00,7.59,,,,,<0.12,,,,31.54,119372.9611,0,0
8/26/00,,,,,,,,,,36.04,136414.885,0,0
8/27/00,,,,,,,,,,31.70,120008.9103,0,0
8/28/00,6.87,,11.30,,,<0.12,,1.68,,32.20,121882.6891,0,0
8/29/00,7.66,,,,,<0.12,10.50,,,30.75,116397.6274,1222.175088,0
8/30/00,9.42,,,,,<0.12,,,,31.56,119452.4548,0,0
8/31/00,8.17,,,,,0.09,10.60,,8.51,31.57,119509.2359,1266.797901,1017.023598
9/1/00,7.13,,,,,<0.12,,,,28.89,109360.5469,0,0
9/2/00,,,,,,,,,,30.35,114902.3898,0,0
9/3/00,,,,,,,,,,29.78,112725.778,0,0
9/4/00,,,,,,,,,,29.73,112540.2928,0,0
9/5/00,8.17,,,,,<0.12,4.26,,,27.52,104174.5327,443.7835095,0
9/6/00,8.29,,,,,<0.12,,,,27.68,104787.7694,0,0
9/7/00,8.13,,,,,0.08,4.51,,7.99,30.09,113895.4702,513.6685708,910.0248072
9/8/00,7.31,,,,,<0.12,,,,29.83,112899.9069,0,0
9/9/00,,,,,,,,,,29.51,111688.5752,0,0
9/10/00,,,,,,,,,,41.59,157442.8476,0,0
9/11/00,6.11,,12.20,,,<0.12,,1.72,,40.68,153975.4104,0,0
9/12/00,6.16,,,,,<0.12,4.60,,,36.46,137997.1872,634.787061,0
9/13/00,15.50,,,,,<0.12,,,,32.48,122938.819,0,0
9/14/00,13.30,,,,,0.07,14.00,,8.72,38.84,147025.3943,2058.35552,1282.061438
9/15/00,13.30,,,,,<0.12,,,,33.10,125297.1306,0,0
9/16/00,,,,,,,,,,30.48,115371.7808,0,0
9/17/00,,,,,,,,,,31.74,120148.9705,0,0
9/18/00,9.29,,12.50,,,<0.12,,1.67,,31.97,121027.1861,0,0
9/19/00,8.79,,,,,<0.12,12.30,,,31.33,118612.0933,1458.928748,0
9/20/00,5.89,,,,,<0.12,,,,35.61,134783.3726,0,0
9/21/00,5.69,,,,,<0.12,10.80,,,30.10,113944.6806,1230.60255,0
9/22/00,5.24,,,,,<0.12,,,,33.31,126103.4233,0,0
9/23/00,,,,,,,,,,40.53,153407.5986,0,0
9/24/00,,,,,,,,,,40.89,154785.4885,0,0
9/25/00,4.42,,7.73,,,<0.12,,1.49,,53.87,203912.5628,0,0
9/26/00,6.33,,,,,<0.12,4.99,,,35.26,133458.4784,665.9578073,0
9/27/00,7.29,,,,,<0.12,,,,31.22,118191.9126,0,0
9/28/00,5.39,,,,,0.07,8.51,,7.79,31.54,119376.7465,1015.896113,929.9448554
9/29/00,5.11,,,,,<0.12,,,,30.98,117279.6284,0,0
9/30/00,,,,,,,,,,30.79,116545.2585,0,0
10/1/00,,,,,,,,,,33.19,125637.8176,0,0
10/2/00,5.32,,11.90,,,<0.12,,1.80,,35.24,133397.9118,0,0
10/3/00,5.64,,,,,<0.12,10.60,,,30.68,116136.434,1231.046201,0
10/4/00,5.40,,,,,<0.12,,,,49.70,188134.9665,0,0
10/5/00,3.37,,,,,0.07,0.32,,4.88,56.82,215087.0985,69.04295861,1049.625041
10/6/00,5.17,,,,,0.23,,,,27.90,105612.9892,0,0
10/7/00,,,,,,,,,,44.89,169927.1357,0,0
10/8/00,,,,,,,,,,33.77,127833.3565,0,0
10/9/00,4.45,,11.30,,,<0.12,,1.93,,36.09,136615.5119,0,0
10/10/00,4.61,,,,,<0.12,7.96,,,33.86,128174.0435,1020.265387,0
10/11/00,4.61,,,,,<0.12,,,,27.22,103038.9092,0,0
10/12/00,5.32,,,,,<0.12,6.04,,6.75,40.11,151832.8673,917.0705185,1024.871854
10/13/00,5.01,,,,,<0.12,,,,32.53,123139.4459,0,0
10/14/00,,,,,,,,,,41.06,155429.0085,0,0
10/15/00,,,,,,,,,,36.28,137334.7401,0,0
10/16/00,4.10,,10.60,,,<0.12,,1.76,,40.00,151416.472,0,0
10/17/00,5.36,,,,,<0.12,6.89,,,32.43,122760.9047,845.8226332,0
10/18/00,5.24,,,,,<0.12,,,,32.87,124426.4859,0,0
10/19/00,6.97,,,,,<0.12,9.06,,8.30,32.01,121171.0317,1097.809547,1005.719563
10/20/00,7.03,,,,,0.23,,,,32.65,123593.6953,0,0
10/21/00,,,,,,,,,,32.02,121208.8858,0,0
10/22/00,,,,,,,,,,32.90,124540.0482,0,0
10/23/00,8.68,,15.40,,,<0.12,,2.20,,33.43,126546.3165,0,0
10/24/00,6.59,,,,,<0.12,13.50,,,31.63,119732.5752,1616.389766,0
10/25/00,7.65,,,,,0.29,,,,33.34,126205.6294,0,0
10/26/00,6.76,,,,,0.22,11.50,,8.20,32.16,121738.8435,1399.9967,998.2585166
10/27/00,8.46,,,,,0.24,,,,32.35,122458.0717,0,0
10/28/00,,,,,,,,,,32.63,123517.987,0,0
10/29/00,,,,,,,,,,31.37,118748.3682,0,0
10/30/00,7.10,,19.90,,,<0.12,,1.93,,32.82,124237.2153,0,0
10/31/00,5.59,,,,,<0.12,13.10,,,26.97,102092.5562,1337.412487,0
11/1/00,6.02,,,,,<0.12,,,,32.57,123290.8623,0,0
11/2/00,7.47,,,,,<0.12,6.21,,7.79,33.18,125599.9635,779.9757735,978.4237159
11/3/00,7.36,,,,,<0.12,,,,46.41,175680.9616,0,0
11/4/00,,,,,,,,,,33.53,126924.8577,0,0
11/5/00,,,,,,,,,,35.10,132867.9542,0,0
11/6/00,3.85,,15.20,,,<0.12,,2.15,,61.41,232462.1386,0,0
11/7/00,3.87,,,,,<0.12,4.52,,,44.54,168602.2416,762.0821319,0
11/8/00,4.98,,,,,0.21,,,,35.70,135139.2013,0,0
11/9/00,2.89,,,,,<0.12,7.16,,,65.77,248966.5341,1782.600384,0
11/10/00,,,,,,,,,,42.26,159971.5027,0,0
11/11/00,,,,,,,,,,38.15,144413.4602,0,0
11/12/00,,,,,,,,,,48.72,184425.2629,0,0
11/13/00,5.38,,17.00,,,<0.12,,1.84,,40.58,153612.0108,0,0
11/14/00,4.67,,,,,<0.12,6.47,,,38.38,145284.1049,939.9881586,0
11/15/00,4.39,,,,,<0.12,,,,39.57,149788.7449,0,0
11/16/00,5.16,,,,,<0.12,8.45,,5.29,41.34,156488.9238,1322.331406,827.826407
11/17/00,6.01,,,,,<0.12,,,,38.06,144072.7731,0,0
11/18/00,,,,,,,,,,38.91,147290.3731,0,0
11/19/00,,,,,,,,,,38.71,146533.2908,0,0
11/20/00,5.79,,42.30,,,<0.12,,,,38.17,144489.1684,0,0
11/21/00,6.20,,,,,<0.12,12.10,,,36.85,139492.4248,1687.85834,0
11/22/00,10.40,,,,,<0.12,,,,36.09,136615.5119,0,0
11/23/00,,,,,,,,,,36.32,137486.1566,0,0
11/24/00,9.41,,,,,<0.12,13.10,,,38.68,146419.7284,1918.098442,0
11/25/00,,,,,,,,,,50.66,191768.9618,0,0
11/26/00,,,,,,,,,,40.36,152779.2202,0,0
11/27/00,5.27,,35.30,,,<0.12,,2.20,,40.16,152022.1379,0,0
11/28/00,6.00,,,,,<0.12,10.20,,,35.57,134647.0977,1373.400397,0
11/29/00,5.71,,,,,<0.12,,,,36.83,139416.7166,0,0
11/30/00,7.53,,,,,<0.12,9.01,,5.88,36.63,138659.6342,1249.323304,815.3186493
12/1/00,9.00,,,,,0.23,,,,37.09,140400.9237,0,0
12/2/00,,,,,,,,,,35.65,134949.9307,0,0
12/3/00,,,,,,,,,,36.50,138167.5307,0,0
12/4/00,8.08,,30.40,,,0.24,,2.19,,33.26,125917.9381,0,0
12/5/00,8.89,,,,,<0.12,8.78,,,41.87,158476.265,1391.421607,0
12/6/00,9.06,,,,,<0.12,,,,36.14,136797.2116,0,0
12/7/00,6.50,,,,,<0.12,9.92,,7.10,36.07,136551.1599,1354.587506,969.513235
12/8/00,6.65,,,,,0.20,,,,33.21,125728.6675,0,0
12/9/00,,,,,,,,,,31.55,119433.5277,0,0
12/10/00,,,,,,,,,,34.72,131433.2831,0,0
12/11/00,4.91,,16.80,,,<0.12,,2.46,,53.70,203284.1845,0,0
12/12/00,5.58,,,,,<0.12,7.72,,,33.32,126137.492,973.7814382,0
12/13/00,5.63,,,,,<0.12,,,,35.75,135309.5448,0,0
12/14/00,7.79,,,,,<0.12,9.98,,,31.99,121080.1818,1208.380215,0
12/15/00,7.99,,,,,0.18,,,,33.12,125387.9805,0,0
12/16/00,,,,,,,,,,35.35,133795.3801,0,0
12/17/00,,,,,,,,,,33.50,126811.2953,0,0
12/18/00,6.27,,17.20,,,<0.12,,2.24,,35.91,135915.2107,0,0
12/19/00,5.27,,,,,<0.12,10.90,,,34.14,129241.5297,1408.732673,0
12/20/00,5.76,,,,,<0.12,,,,32.34,122431.5738,0,0
12/21/00,5.36,,,,,<0.12,8.54,,,31.11,117764.1611,1005.705936,0
12/22/00,5.60,,,,,<0.12,,,,30.72,116276.4943,0,0
12/23/00,,,,,,,,,,31.62,119679.5795,0,0
12/24/00,,,,,,,,,,32.03,121254.3108,0,0
12/25/00,,,,,,,,,,30.38,114981.8834,0,0
12/26/00,8.35,,,,,<0.12,,,,33.02,124979.156,0,0
12/27/00,8.53,,,,,<0.12,,,,32.34,122405.076,0,0
12/28/00,6.35,,,,,<0.12,14.30,,,31.08,117665.7404,1682.620088,0
12/29/00,10.10,,,,,<0.12,,,,30.90,116984.3663,0,0
12/30/00,,,,,,,,,,31.10,117741.4486,0,0
12/31/00,,,,,,,,,,30.44,115212.7935,0,0
1/1/01,,,,,,,,,,31.51,119278.3258,0,0
1/2/01,6.92,,,,,,12.30,,,31.49,119210.1884,1466.285317,0
1/3/01,9.98,,,,,<0.12,,,,32.00,121129.3922,0,0
1/4/01,10.60,,,,,<0.12,12.10,,8.92,30.99,117313.6971,1419.495735,1046.438178
1/5/01,10.70,,,,,0.22,,,,31.65,119819.6397,0,0
1/6/01,,,,,,<0.12,,,,33.16,125505.3282,0,0
1/7/01,,,,,,,,,,32.14,121644.2082,0,0
1/8/01,6.83,,22.00,,,<0.12,,2.33,,32.42,122704.1235,0,0
1/9/01,5.09,,,,,<0.12,14.80,,,31.92,120830.3447,1788.289101,0
1/10/01,5.82,,,,,<0.12,,,,32.65,123601.2661,0,0
1/11/01,7.03,,,,,<0.12,10.10,,5.88,30.72,116280.2797,1174.430825,683.7280445
1/12/01,6.12,,,,,<0.12,,,,33.78,127859.8544,0,0
1/13/01,,,,,,,,,,34.90,132122.2281,0,0
1/14/01,,,,,,,,,,43.86,166028.1615,0,0
1/15/01,4.18,,11.40,,,0.22,,2.24,,40.98,155137.5318,0,0
1/16/01,4.04,,,,,<0.12,11.40,,,37.32,141260.2121,1610.366418,0
1/17/01,4.39,,,,,<0.12,,,,37.40,141563.0451,0,0
1/18/01,4.68,,,,,<0.12,11.40,,6.19,35.40,134014.934,1527.770247,829.5524412
1/19/01,4.58,,,,,0.26,,,,34.66,131194.8022,0,0
1/20/01,,,,,,,,,,34.24,129620.0709,0,0
1/21/01,,,,,,,,,,34.62,131050.9565,0,0
1/22/01,5.56,,18.10,,,<0.12,,2.72,,36.84,139469.7124,0,0
1/23/01,4.66,,,,,0.21,14.80,,,33.88,128249.7518,1898.096326,0
1/24/01,5.95,,,,,<0.12,,,,34.56,130827.6172,0,0
1/25/01,5.53,,,,,0.24,12.70,,,33.57,127068.7033,1613.772532,0
1/26/01,4.71,,,,,<0.12,,,,34.08,128999.2633,0,0
1/27/01,,,,,,,,,,33.11,125331.1993,0,0
1/28/01,,,,,,,,,,40.24,152340.1125,0,0
1/29/01,2.20,,9.45,,,<0.12,,2.69,,87.56,331465.7989,0,0
1/30/01,2.66,,,,,0.22,6.67,,,69.83,264342.8768,1763.166988,0
1/31/01,3.25,,,,,0.19,,,,48.41,183244.2144,0,0
2/1/01,3.72,,,,,<0.12,8.00,,3.95,43.73,165551.1997,1324.409597,653.9272387
2/2/01,3.33,,,,,<0.12,,,,40.43,153032.8428,0,0
2/3/01,,,,,,,,,,39.55,149724.3929,0,0
2/4/01,,,,,,,,,,37.86,143308.1199,0,0
2/5/01,4.02,,14.80,,,<0.12,,2.51,,38.15,144428.6018,0,0
2/6/01,4.24,,,,,0.24,8.08,,,35.79,135468.5321,1094.585739,0
2/7/01,4.51,,,,,<0.12,,,,38.10,144227.975,0,0
2/8/01,6.17,,,,,<0.12,8.50,,5.98,38.00,143860.79,1222.816715,860.2875245
2/9/01,4.07,,,,,<0.12,,,,55.67,210749.0166,0,0
2/10/01,,,,,,,,,,42.35,160297.0481,0,0
2/11/01,,,,,,,,,,39.95,151242.3431,0,0
2/12/01,4.21,,11.10,,,<0.12,,2.16,,41.30,156345.0782,0,0
2/13/01,5.71,,,,,<0.12,10.10,,,44.91,170002.8439,1717.028724,0
2/14/01,6.66,,,,,0.18,,,,45.30,171471.5837,0,0
2/15/01,7.59,,,,,<0.12,12.10,,4.46,41.49,157056.7356,1900.386501,700.4730407
2/16/01,9.17,,,,,<0.12,,,,38.70,146495.4367,0,0
2/17/01,,,,,,,,,,36.64,138697.4884,0,0
2/18/01,,,,,,,,,,36.56,138394.6554,0,0
2/19/01,8.61,,13.90,,,<0.12,,2.03,,37.93,143561.7425,0,0
2/20/01,4.95,,,,,<0.12,15.10,,,36.44,137955.5476,2083.128769,0
2/21/01,5.09,,,,,<0.12,,,,36.59,138512.0032,0,0
2/22/01,7.35,,,,,<0.12,20.50,,7.10,34.81,131785.3264,2701.599191,935.6758175
2/23/01,8.64,,,,,0.18,,,,35.94,136032.5584,0,0
2/24/01,,,,,,,,,,102.74,388913.2083,0,0
2/25/01,,,,,,,,,,91.64,346895.1374,0,0
2/26/01,1.61,,6.89,,,<0.12,,1.85,,66.63,252221.9882,0,0
2/27/01,1.97,,,,,<0.12,11.00,,,50.69,191878.7387,2110.666126,0
2/28/01,3.16,,,,,<0.12,,,,47.06,178156.621,0,0
3/1/01,5.01,,,,,<0.12,11.40,,2.84,45.26,171342.8797,1953.308829,486.6137784
3/2/01,6.09,,,,,<0.12,,,,42.52,160970.8514,0,0
3/3/01,,,,,,,,,,39.96,151246.1285,0,0
3/4/01,,,,,,,,,,39.14,148172.3741,0,0
3/5/01,6.62,,13.00,,,<0.12,,2.56,,36.37,137686.7834,0,0
3/6/01,4.99,,,,,<0.12,14.90,,,38.00,143834.2922,2143.130953,0
3/7/01,4.03,,,,,<0.12,,,,35.60,134760.6601,0,0
3/8/01,4.41,,,,,<0.12,11.50,,3.55,36.56,138394.6554,1591.538537,491.3010267
3/9/01,5.00,,,,,0.24,,,,36.22,137107.6154,0,0
3/10/01,,,,,,,,,,36.12,136729.0742,0,0
3/11/01,,,,,,,,,,35.82,135601.0215,0,0
3/12/01,6.26,,13.60,,,<0.12,,2.60,,37.21,140836.246,0,0
3/13/01,5.09,,,,,<0.12,12.60,,,35.40,134003.5777,1688.445079,0
3/14/01,5.82,,,,,0.18,,,,35.81,135559.382,0,0
3/15/01,4.61,,,,,<0.12,12.50,,4.26,47.41,179462.588,2243.28235,764.510625
3/16/01,3.53,,,,,<0.12,,,,51.31,194218.1232,0,0
3/17/01,,,,,,,,,,40.88,154743.849,0,0
3/18/01,,,,,,,,,,39.13,148115.5929,0,0
3/19/01,6.89,,16.80,,,<0.12,,2.25,,41.93,158703.3897,0,0
3/20/01,7.06,,,,,<0.12,11.10,,,38.47,145609.6503,1616.267118,0
3/21/01,6.90,,,,,<0.12,,,,38.31,145000.199,0,0
3/22/01,8.60,,,,,0.18,12.90,,,36.42,137864.6978,1778.454601,0
3/23/01,5.13,,,,,<0.12,,,,36.25,137213.6069,0,0
3/24/01,,,,,,,,,,36.51,138205.3848,0,0
3/25/01,,,,,,,,,,34.54,130748.1236,0,0
3/26/01,5.07,,13.10,,,<0.12,,2.82,,35.94,136047.7001,0,0
3/27/01,6.88,,,,,<0.12,10.70,,,35.01,132527.2671,1418.041758,0
3/28/01,9.26,,,,,<0.12,,,,35.78,135442.0342,0,0
3/29/01,12.10,,,,,<0.12,14.70,,4.46,33.00,124918.5894,1836.303264,557.1369087
3/30/01,17.30,,,,,<0.12,,,,35.87,135782.7213,0,0
3/31/01,,,,,,,,,,36.48,138091.8225,0,0
4/1/01,,,,,,,,,,33.02,124994.2976,0,0
4/2/01,19.80,,14.00,,,<0.12,,2.47,,33.49,126773.4412,0,0
4/3/01,13.10,,,,,<0.12,25.20,,,33.69,127530.5235,3213.769193,0
4/4/01,8.32,,,,,<0.12,,,,32.87,124426.4859,0,0
4/5/01,5.37,,,,,<0.12,16.70,,6.29,49.29,186582.9476,3115.935225,1173.606741
4/6/01,5.07,,,,,0.24,,,,44.85,169775.7192,0,0
4/7/01,,,,,,,,,,37.82,143164.2743,0,0
4/8/01,,,,,,,,,,35.70,135139.2013,0,0
4/9/01,10.30,,15.30,,,<0.12,,2.13,,40.75,154255.5309,0,0
4/10/01,8.27,,,,,<0.12,14.90,,,61.20,231667.2022,3451.841312,0
4/11/01,6.05,,,,,<0.12,,,,77.35,292801.6027,0,0
